pressure   temperature     density   altitude
   1.278         301.2       1.478       -2.0
   1.013         288.1       1.225        0.0
   0.795         275.2       1.007        2.0
  0.6166         262.2      0.8193        4.0
  0.4722         249.2      0.6601        6.0
  0.3565         236.2      0.5258        8.0
   0.265         223.3      0.4135       10.0
   0.194         216.6      0.3119       12.0
  0.1417         216.6      0.2279       14.0
  0.1035         216.6      0.1665       16.0
 0.07565         216.6      0.1216       18.0
 0.05529         216.6     0.08891       20.0
 0.04047         218.6     0.06451       22.0
 0.02972         220.6     0.04694       24.0
 0.02188         222.5     0.03426       26.0
 0.01616         224.5     0.02508       28.0
 0.01197         226.5     0.01841       30.0
 0.00889         228.5     0.01355       32.0
0.006634         233.7    0.009887       34.0
0.004985         239.3    0.007257       36.0
0.003771         244.8    0.005366       38.0
0.002871         250.4    0.003995       40.0
  0.0022         255.9    0.002995       42.0
0.001695         261.4    0.002259       44.0
0.001313         266.9    0.001714       46.0
0.001023         270.6    0.001317       48.0
0.0007977         270.6    0.001027       50.0
0.0006221         269.0   0.0008055       52.0
0.0004833         263.5   0.0006389       54.0
0.0003736         258.0   0.0005044       56.0
0.0002872         252.5   0.0003962       58.0
0.0002196         247.0   0.0003096       60.0
0.0001669         241.5   0.0002407       62.0
0.000126         236.0    0.000186       64.0
9.459e-05         230.5   0.0001429       66.0
7.051e-05         225.1   0.0001091       68.0
5.22e-05         219.6   8.281e-05       70.0
3.835e-05         214.3   6.236e-05       72.0
 2.8e-05         210.3   4.637e-05       74.0
2.033e-05         206.4    3.43e-05       76.0
1.467e-05         202.5   2.523e-05       78.0
1.052e-05         198.6   1.845e-05       80.0
7.498e-06         194.7   1.341e-05       82.0
5.308e-06         190.8    9.69e-06       84.0
3.732e-06         186.9   6.955e-06       86.0
